open,open,high,low,close,previous,previous_ratio,volume
22/08/05,"1,926.63","1,947.54","1,926.63","1,947.17",16.44,0.9,"1,212,460,000"
22/08/04,"1,938.07","1,938.66","1,927.72","1,930.73",-0.04,0,"1,295,400,000"
22/08/03,"1,926.60","1,933.81","1,924.29","1,930.77",5.28,0.3,"1,176,600,000"
22/08/02,"1,947.68","1,948.22","1,923.52","1,925.49",-34.62,-1.8,"1,160,860,000"
22/08/01,"1,943.06","1,960.11","1,937.58","1,960.11",19.8,1,"1,226,740,000"
22/07/29,"1,950.86","1,952.72","1,935.27","1,940.31",-8.54,-0.4,"1,293,590,000"
22/07/28,"1,954.43","1,956.16","1,939.77","1,948.85",3.1,0.2,"1,376,790,000"
22/07/27,"1,938.82","1,949.54","1,935.40","1,945.75",2.58,0.1,"925,210,000"
22/07/26,"1,944.08","1,947.15","1,939.11","1,943.17",-0.04,0,"869,890,000"
22/07/25,"1,944.63","1,953.76","1,940.60","1,943.21",-12.76,-0.7,"823,920,000"
22/07/22,"1,945.54","1,958.64","1,943.44","1,955.97",5.38,0.3,"993,860,000"
22/07/21,"1,938.76","1,951.01","1,935.96","1,950.59",4.15,0.2,"970,530,000"
22/07/20,"1,927.14","1,946.44","1,926.65","1,946.44",43.65,2.3,"1,114,290,000"
22/07/19,"1,906.23","1,906.86","1,891.36","1,902.79",10.29,0.5,"972,420,000"
22/07/15,"1,896.65","1,901.10","1,879.18","1,892.50",-0.63,0,"1,078,310,000"
22/07/14,"1,877.43","1,896.40","1,875.17","1,893.13",4.28,0.2,"972,780,000"
22/07/13,"1,887.90","1,893.77","1,885.03","1,888.85",5.55,0.3,"893,560,000"
22/07/12,"1,907.68","1,908.75","1,879.22","1,883.30",-31.36,-1.6,"1,061,100,000"
22/07/11,"1,912.82","1,924.64","1,903.96","1,914.66",27.23,1.4,"1,152,480,000"
22/07/08,"1,889.43","1,907.76","1,884.07","1,887.43",5.1,0.3,"1,466,870,000"
22/07/07,"1,869.29","1,884.33","1,857.10","1,882.33",26.36,1.4,"1,278,950,000"
22/07/06,"1,864.66","1,867.49","1,851.42","1,855.97",-23.15,-1.2,"1,389,150,000"
22/07/05,"1,882.09","1,886.16","1,872.04","1,879.12",9.41,0.5,"1,038,180,000"
22/07/04,"1,859.78","1,870.83","1,856.01","1,869.71",24.67,1.3,"1,097,790,000"
22/07/01,"1,875.59","1,881.32","1,836.73","1,845.04",-25.78,-1.4,"1,349,730,000"
22/06/30,"1,887.08","1,891.02","1,867.49","1,870.82",-22.75,-1.2,"1,364,020,000"
22/06/29,"1,893.14","1,898.74","1,889.74","1,893.57",-13.81,-0.7,"1,662,920,000"
22/06/28,"1,885.52","1,907.38","1,885.32","1,907.38",19.96,1.1,"1,226,850,000"
22/06/27,"1,884.21","1,889.33","1,877.15","1,887.42",20.7,1.1,"1,109,570,000"
22/06/24,"1,851.56","1,866.85","1,846.55","1,866.72",14.98,0.8,"1,244,470,000"
22/06/23,"1,850.21","1,867.65","1,846.39","1,851.74",-0.91,0,"1,082,290,000"
22/06/22,"1,870.40","1,871.10","1,852.65","1,852.65",-3.55,-0.2,"1,111,330,000"
22/06/21,"1,839.70","1,863.42","1,833.81","1,856.20",37.26,2,"1,113,400,000"
22/06/20,"1,845.98","1,846.66","1,808.77","1,818.94",-16.96,-0.9,"1,177,840,000"
22/06/17,"1,837.57","1,843.52","1,819.11","1,835.90",-31.91,-1.7,"1,869,650,000"
22/06/16,"1,877.86","1,893.44","1,866.00","1,867.81",11.88,0.6,"1,130,690,000"
22/06/15,"1,874.33","1,877.81","1,855.93","1,855.93",-22.52,-1.2,"1,226,530,000"
22/06/14,"1,873.80","1,880.73","1,865.85","1,878.45",-22.61,-1.2,"1,260,900,000"
22/06/13,"1,913.46","1,915.90","1,896.47","1,901.06",-42.03,-2.2,"1,218,590,000"
22/06/10,"1,950.16","1,955.80","1,941.22","1,943.09",-25.96,-1.3,"1,272,530,000"
22/06/09,"1,966.01","1,978.39","1,965.39","1,969.05",-0.93,0,"1,287,270,000"
22/06/08,"1,954.54","1,969.98","1,954.43","1,969.98",22.95,1.2,"1,300,380,000"
22/06/07,"1,946.59","1,956.10","1,943.79","1,947.03",7.92,0.4,"1,174,580,000"
22/06/06,"1,919.64","1,941.10","1,918.99","1,939.11",5.97,0.3,"1,001,820,000"
22/06/03,"1,937.90","1,941.13","1,924.96","1,933.14",6.75,0.4,"1,108,280,000"
22/06/02,"1,930.39","1,932.49","1,917.92","1,926.39",-12.25,-0.6,"1,095,370,000"
22/06/01,"1,916.90","1,939.19","1,916.90","1,938.64",25.97,1.4,"1,228,850,000"
22/05/31,"1,917.11","1,926.00","1,911.02","1,912.67",-9.77,-0.5,"2,288,800,000"
22/05/30,"1,905.42","1,926.18","1,902.79","1,922.44",35.14,1.9,"1,681,740,000"
22/05/27,"1,897.98","1,898.74","1,884.57","1,887.30",9.72,0.5,"1,168,390,000"
22/05/26,"1,878.95","1,891.91","1,877.58","1,877.58",1,0.1,"1,085,810,000"
22/05/25,"1,876.11","1,883.96","1,867.45","1,876.58",-1.68,-0.1,"1,164,920,000"
22/05/24,"1,896.07","1,896.82","1,878.26","1,878.26",-16.31,-0.9,"1,113,510,000"
22/05/23,"1,892.73","1,897.95","1,886.94","1,894.57",17.2,0.9,"1,097,990,000"
22/05/20,"1,861.87","1,878.83","1,859.88","1,877.37",17.29,0.9,"1,253,300,000"
22/05/19,"1,850.82","1,862.79","1,840.54","1,860.08",-24.61,-1.3,"1,264,390,000"
22/05/18,"1,878.94","1,890.60","1,874.37","1,884.69",17.98,1,"1,267,160,000"
22/05/17,"1,865.35","1,871.71","1,859.86","1,866.71",3.45,0.2,"1,320,980,000"
22/05/16,"1,883.45","1,883.66","1,859.13","1,863.26",-0.94,-0.1,"1,500,490,000"
22/05/13,"1,836.77","1,868.02","1,835.68","1,864.20",35.02,1.9,"1,648,180,000"
22/05/12,"1,837.03","1,848.19","1,826.51","1,829.18",-21.97,-1.2,"1,481,010,000"
22/05/11,"1,854.40","1,860.03","1,845.29","1,851.15",-11.23,-0.6,"1,368,540,000"
22/05/10,"1,861.43","1,867.32","1,840.00","1,862.38",-16.01,-0.9,"1,372,450,000"
22/05/09,"1,899.84","1,902.72","1,878.31","1,878.39",-37.52,-2,"1,263,420,000"
