date,open,high,low,close,previous,previous_ratio,volume
21/10/07,"27,665.97","28,015.11","27,607.97","27,678.21",149.34,0.5,"1,330,870,000"
21/10/06,"28,033.91","28,209.82","27,293.62","27,528.87",-293.25,-1.1,"1,673,820,000"
21/10/05,"28,050.39","28,058.67","27,460.29","27,822.12",-622.77,-2.2,"1,511,320,000"
21/10/04,"29,044.47","29,046.06","28,343.58","28,444.89",-326.18,-1.1,"1,324,330,000"
21/10/01,"29,235.11","29,393.67","28,680.73","28,771.07",-681.59,-2.3,"1,384,430,000"
21/09/30,"29,569.19","29,622.27","29,311.34","29,452.66",-91.63,-0.3,"1,551,250,000"
21/09/29,"29,611.92","29,679.26","29,329.16","29,544.29",-639.67,-2.1,"1,602,590,000"
21/09/28,"30,142.38","30,207.63","30,001.99","30,183.96",-56.1,-0.2,"1,506,770,000"
21/09/27,"30,277.82","30,414.61","30,197.40","30,240.06",-8.75,0,"1,293,460,000"
21/09/24,"30,141.61","30,276.38","30,110.30","30,248.81",609.41,2.1,"1,425,370,000"
21/09/22,"29,744.73","29,868.10","29,573.88","29,639.40",-200.31,-0.7,"1,203,590,000"
21/09/21,"30,021.25","30,051.00","29,832.52","29,839.71",-660.34,-2.2,"1,319,880,000"
21/09/17,"30,387.54","30,541.99","30,358.93","30,500.05",176.71,0.6,"1,599,330,000"
21/09/16,"30,606.15","30,622.39","30,202.51","30,323.34",-188.37,-0.6,"1,261,500,000"
21/09/15,"30,464.17","30,573.41","30,347.30","30,511.71",-158.39,-0.5,"1,205,720,000"
21/09/14,"30,584.77","30,795.78","30,504.81","30,670.10",222.73,0.7,"1,339,010,000"
21/09/13,"30,372.02","30,447.37","30,229.01","30,447.37",65.53,0.2,"1,135,440,000"
21/09/10,"30,089.45","30,381.84","30,064.02","30,381.84",373.65,1.2,"1,486,000,000"
21/09/09,"29,959.21","30,097.56","29,909.92","30,008.19",-173.02,-0.6,"1,260,350,000"
21/09/08,"29,819.55","30,241.87","29,787.13","30,181.21",265.07,0.9,"1,320,220,000"
21/09/07,"29,883.92","30,048.23","29,838.43","29,916.14",256.25,0.9,"1,257,380,000"
21/09/06,"29,501.22","29,705.04","29,469.35","29,659.89",531.78,1.8,"1,176,830,000"
21/09/03,"28,626.48","29,149.65","28,607.87","29,128.11",584.6,2,"1,243,100,000"
21/09/02,"28,522.46","28,626.20","28,412.91","28,543.51",92.49,0.3,"1,058,060,000"
21/09/01,"28,179.04","28,457.67","28,179.04","28,451.02",361.48,1.3,"1,082,660,000"
21/08/31,"27,690.77","28,158.95","27,602.21","28,089.54",300.25,1.1,"1,235,240,000"
